MAE,MSE,RMSE,NRMSE,epoch,lr,window size,hidden state,arch
0.08825713806727434,0.028213318417673803,0.16796820656801037,0.22187867814360632,5,0.001,3,50,CNN_LSTM
0.06058356447007928,0.01172518193252186,0.10828287922161037,0.14303696275727446,5,0.0001,3,50,GRU
0.08451723320820669,0.024562809369494478,0.15672526716995724,0.20702724534534847,20,0.001,3,50,LSTM
0.06329341245291846,0.011093000900473838,0.10532331603436078,0.1391275088118724,5,0.001,3,50,RNN
0.1045110067895579,0.026057343269277066,0.1614228709609548,0.21323257515677863,5,0.0001,3,50,GRU
0.08259047638774421,0.01831833356070914,0.1353452384116602,0.17878515943820103,5,0.0001,3,50,GRU
